,label,price,url,model_a,model_b,model.year,model.cpu,model.cpu_name,model.cpu_clock
0,"iMac Retina 5K 27インチ Late2014 16GB i7の画像 50,000円",50000,https://jp.mercari.com/item/m18187701202,,,,,,
1,"【最高スペックCPU】iMac 27インチ Core i7の画像 54,000円",54000,https://jp.mercari.com/item/m75164915718,,,,,,
2,"iMac 21.5 2015年購入 DVDドライブ付きの画像 79,800円",79800,https://jp.mercari.com/item/m31784306621,,,,,,
3,"iMac Retina 4K, 21.5インチ/i7/16GB/SSD1TBの画像 91,800円",91800,https://jp.mercari.com/item/m11218947622,,,,,,
4,"ジャンク品　Apple iMac (27-inch, Late 2013)の画像 26,000円",26000,https://jp.mercari.com/item/m97196767314,,,,,,
5,"Apple iMac 27インチ Retina 5K（2017）の画像 80,000円",80000,https://jp.mercari.com/item/m39796107092,,,,,,
6,"Apple iMac retina 4k 21.5 インチの画像 45,980円",45980,https://jp.mercari.com/item/m47702109016,,,,,,
7,"iMac (Retina 5K, 27-inch, 2017)の画像 100,000円",100000,https://jp.mercari.com/item/m70526586008,,,,,,
8,"iMac i5 21.5インチ Mac/Win10 MacOfficeの画像 77,400円",77400,https://jp.mercari.com/item/m29545666881,,,,,,
9,"APPLE iMac MNE02J/A  21.5インチ 2017モデルの画像 48,000円",48000,https://jp.mercari.com/item/m70784758556,,,,,,
10,"APPLE iMac IMAC MC309J/Aの画像 11,000円",11000,https://jp.mercari.com/item/m36903984987,,MC309J/A,2011.0,,i5,2.5
11,"iMac MA877J/A  (Mid 2007)　320GB  メモリ4GBの画像 9,444円",9444,https://jp.mercari.com/item/m29236179392,,MA877J/A,2007.0,,Duo,2.4
12,"Imac 21.5インチRetina4K MacOs/Windowsの画像 99,000円",99000,https://jp.mercari.com/item/m62307080123,,,,,,
13,"iMac 2017の画像 61,100円",61100,https://jp.mercari.com/item/m62874034920,,,,,,
14,"iMac 27インチ Retina5K 2015 A1419 24GB 1TBの画像 60,000円",60000,https://jp.mercari.com/item/m34147391959,,,,,,
15,"imac A1311 i7-2700K/新SSD480GB搭載 16GBメモリの画像 29,200円",29200,https://jp.mercari.com/item/m61250458030,A1311,,2009.0,Core 2 Duo 3.06GHz,Duo,3.06
16,"APPLE iMac IMAC MA876J/Aの画像 14,500円",14500,https://jp.mercari.com/item/m10362543039,,MA876J/A,2007.0,,Duo,2.0
17,"iMac (Retina 4K, 21.5-inch, 2017) モデルの画像 53,333円",53333,https://jp.mercari.com/item/m75923306281,,,,,,
18,"imac メモリ32GB HDD1TB Core i5の画像 41,800円",41800,https://jp.mercari.com/item/m38447941921,,,,,,
19,"Apple iMac 20 inchキーボード、マウス付の画像 13,200円",13200,https://jp.mercari.com/item/m81335976553,,,,,,
20,"iMac 21.5  ほんとの最終価格の画像 65,000円",65000,https://jp.mercari.com/item/m80996824685,,,,,,
21,"Apple iMac Core i5・8G・1128G SSD+HDの画像 34,000円",34000,https://jp.mercari.com/item/m42743393992,,,,,,
22,"APPLE iMac IMAC MC309J/Aの画像 40,900円",40900,https://jp.mercari.com/item/m94739099738,,MC309J/A,2011.0,,i5,2.5
23,"デュアルOS★Apple iMac 21.5インチ★macOS & Win10★の画像 24,200円",24200,https://jp.mercari.com/item/m30030218972,,,,,,
24,"iMac 21.5インチ 2019 Retina 4K 1TB HDDの画像 92,800円",92800,https://jp.mercari.com/item/m17845089996,,,,,,
25,"imac apple HDD 1TB デスクトップ PC Macbookの画像 29,800円",29800,https://jp.mercari.com/item/m42437553617,,,,,,
26,"iMac Late2012 21.5インチ　ジャンクの画像 15,000円",15000,https://jp.mercari.com/item/m12768815340,,,,,,
27,"【最高スペック】iMac 27インチ Core i7&高速SSD【爆速起動】の画像 81,500円",81500,https://jp.mercari.com/item/m20911932267,,,,,,
28,"Apple iMac 21.5インチ パソコン デスクトップパソコン PCの画像 54,600円",54600,https://jp.mercari.com/item/m52708027903,,,,,,
29,"iMac (27-inch. Mid 2011)の画像 15,000円",15000,https://jp.mercari.com/item/m30631252902,,,,,,
30,"iMac 2012 27インチ　FusionDrive1TB メモリ8GBの画像 21,500円",21500,https://jp.mercari.com/item/m40794895009,,,,,,
31,"中古☆Apple iMac Late2013 ME086J/Aの画像 29,800円",29800,https://jp.mercari.com/item/m59877189091,,,,,,
32,"iMac 21.5in mid 2011 Windows搭載 i7メモリ16GBの画像 75,000円",75000,https://jp.mercari.com/item/m11540762456,,,,,,
33,"iMac 2012 21.5 Inchの画像 18,000円",18000,https://jp.mercari.com/item/m59085434855,,,,,,
34,"iMac 21.5インチ Mid 2011 Core i7 RAM16GBの画像 26,800円",26800,https://jp.mercari.com/item/m30548183936,,,,,,
35,"422) 新品SSD1TB iMac 21.5インチ Retina4K 2019の画像 67,500円",67500,https://jp.mercari.com/item/m73253308292,,,,,,
36,"Imac A1419 27インチ　27型　中古　Quad core i5の画像 21,000円",21000,https://jp.mercari.com/item/m33367567708,,,,,,
37,"iMac i5 21.5インチ Monterey Windows10の画像 76,500円",76500,https://jp.mercari.com/item/m47576423425,,,,,,
38,"Apple iMac 27 i5/メモリ16GB/SSD121GB＋HDD3TBの画像 50,200円",50200,https://jp.mercari.com/item/m28948800813,,,,,,
39,"iMac 21.5inch Late 2013の画像 25,000円",25000,https://jp.mercari.com/item/m63960542324,,,,,,
40,"Apple iMac Retina 5K 27inch Late2015の画像 97,000円",97000,https://jp.mercari.com/item/m69928076923,,,,,,
41,"Apple iMac 21.5インチ 2017 A1418 デスクトップPCの画像 59,800円",59800,https://jp.mercari.com/item/m57254686511,A1418,,2020.0,Core i5 2.3Ghz,i5,2.3
42,"APPLE iMac IMAC MNE02J/Aの画像 59,800円",59800,https://jp.mercari.com/item/m85978448867,,,,,,
43,"Apple iMac A1333 21.5inch Mid 2010の画像 10,400円",10400,https://jp.mercari.com/item/m98589478351,,,,,,
44,"【最高スペック】iMac 27インチ Core i7 【FusionDrive】の画像 88,000円",88000,https://jp.mercari.com/item/m75086087661,,,,,,
45,"iMac i7 4.0G (27inch 5K, Late 2015）の画像 89,900円",89900,https://jp.mercari.com/item/m43815797804,,,,,,
46,"中古☆Apple iMac Late2015 カスタム★ ②の画像 45,800円",45800,https://jp.mercari.com/item/m94224953699,,,,,,
47,"中古☆Apple iMac Late2015 カスタム★の画像 49,800円",49800,https://jp.mercari.com/item/m13188398905,,,,,,
48,"【売り切り】iMac Retina  21.5インチ2019 1TBの画像 69,000円",69000,https://jp.mercari.com/item/m27850921847,,,,,,
49,"iMac (21.5-inch, Late 2015) 送料無料 純正の画像 39,999円",39999,https://jp.mercari.com/item/m92703992475,,,,,,
50,"iMac  Retina 4K 21.5㌅ 2017 1TB/8GB【難あり】の画像 47,500円",47500,https://jp.mercari.com/item/m37373675408,,,,,,
51,"美品 Apple iMac Retina 5K 27inch Late 2014の画像 88,888円",88888,https://jp.mercari.com/item/m82286216369,,,,,,
52,"爆速 iMac 21,5inch Late2017 SSD256G 16G難ありの画像 61,000円",61000,https://jp.mercari.com/item/m86435016246,,,,,,
53,"iMac フラワーパワーの画像 9,600円",9600,https://jp.mercari.com/item/m98660532950,,,,,,
54,"iMac 2017 27"" 1TB 3.5GHz Core i5 24GBの画像 78,400円",78400,https://jp.mercari.com/item/m80988903081,,,,,,
55,"【特価！】Apple iMac Retina 27インチ 【メモリ等 増設版】の画像 86,900円",86900,https://jp.mercari.com/item/m12162001702,,,,,,
56,"APPLE iMac IMAC MNDY2J/Aの画像 58,800円",58800,https://jp.mercari.com/item/m71095308041,,,,,,
57,"【Apple iMac A1418】i5 8GB 1TB GT750Mの画像 25,000円",25000,https://jp.mercari.com/item/m42692686907,A1418,,2020.0,Core i5 2.3Ghz,i5,2.3
58,"APPLE iMac IMAC MF883J/Aの画像 39,300円",39300,https://jp.mercari.com/item/m38967108137,,,,,,
59,"27インチiMac Retina 5Kディスプレイモデル core i7の画像 99,100円",99100,https://jp.mercari.com/item/m39922516166,,,,,,
60,"APPLE iMac IMAC MC813J/Aの画像 19,800円",19800,https://jp.mercari.com/item/m46249374099,,MC813J/A,2011.0,,i5,2.7
61,"iMac 2017 Retina 5K 27-inch 訳ありの画像 74,000円",74000,https://jp.mercari.com/item/m16639003760,,,,,,
62,"iMac Retina 5K Late 2015 27-inch 難ありの画像 34,000円",34000,https://jp.mercari.com/item/m78006371408,,,,,,
63,"APPLE iMac Late2013 RAM32GBの画像 37,777円",37777,https://jp.mercari.com/item/m72785243712,,,,,,
64,"iMac 21.5インチ 2015年モデル 純正キーボード＆マウス付きの画像 25,900円",25900,https://jp.mercari.com/item/m59814574783,,,,,,
65,"値下げ　iMac  G5の画像 7,000円",7000,https://jp.mercari.com/item/m79127444067,,,,,,
66,"iMac Retina 5K 27インチ ストレージ1TB メモリ20GBの画像 75,000円",75000,https://jp.mercari.com/item/m89196487652,,,,,,
67,"imac 27インチ　2013late 順次値下げ！の画像 36,700円",36700,https://jp.mercari.com/item/m10248351162,,,,,,
68,"Apple-iMac (27インチ)【※ジャンク品＆ソフトケース】※お値下げ中の画像 5,900円",5900,https://jp.mercari.com/item/m18222361221,,,,,,
69,"Apple iMac Retina 5K 27インチ Late 2015の画像 52,000円",52000,https://jp.mercari.com/item/m54926842301,,,,,,
70,"APPLE imac Late2015の画像 58,600円",58600,https://jp.mercari.com/item/m47876476919,,,,,,
71,"アップル　iMac 27 i5 16GB 1THD Late2015の画像 86,500円",86500,https://jp.mercari.com/item/m97224034769,,,,,,
72,"iMac late 2013本体 Apple keboard Mousの画像 30,000円",30000,https://jp.mercari.com/item/m14220617186,,,,,,
73,"APPLE アップル iMac アイマック IMAC MC508J/A 2010の画像 11,600円",11600,https://jp.mercari.com/item/m62841023694,,MC508J/A,2010.0,,i3,3.06
74,"iMac 27インチ 3.5Ghz Core i7 32GB 1TBの画像 61,000円",61000,https://jp.mercari.com/item/m29473554640,,,,,,
75,"iMac 初代の画像 45,000円",45000,https://jp.mercari.com/item/m77961133799,,,,,,
76,"iMac 2011 Mid 21.5改 i7 2600S【超爆速・超美品】の画像 35,000円",35000,https://jp.mercari.com/item/m41613292884,,,,,,
77,"21.5インチiMac Retina 4Kディスプレイモデルの画像 65,800円",65800,https://jp.mercari.com/item/m34144365654,,,,,,
78,"APPLE iMac 21.5 Late 2013 メモリ16GBの画像 28,000円",28000,https://jp.mercari.com/item/m30242058253,,,,,,
79,"iMac Catalina （Late 2013）21.5インチの画像 33,000円",33000,https://jp.mercari.com/item/m55385373887,,,,,,
80,"Apple imac A1224の画像 10,000円",10000,https://jp.mercari.com/item/m96983215857,A1224,,2007.0,Core 2 Duo 2.4GHz,Duo,2.4
81,"iMac (Retina 4K, 21.5-inch, 2019)の画像 78,000円",78000,https://jp.mercari.com/item/m86545202085,,,,,,
82,"美品 iMac 21.5インチ Mid2011 i5 8GB SSD256GBの画像 15,800円",15800,https://jp.mercari.com/item/m87116521992,,,,,,
83,"Apple iMac メモリ16GBの画像 49,000円",49000,https://jp.mercari.com/item/m47616156994,,,,,,
84,"Apple iMac 21.5-inch Late 2015 SSD換装の画像 51,200円",51200,https://jp.mercari.com/item/m32427561854,,,,,,
85,"iMac用スタンド Adjustable Stand for iMacの画像 14,800円",14800,https://jp.mercari.com/item/m39285833100,,,,,,
86,"iMac 27inch (APPLE iMac MB952J/A)の画像 70,000円",70000,https://jp.mercari.com/item/m842816940,,MB952J/A,2009.0,,Duo,3.06
87,"iMac A1418 2017 4k 21.5inch ssd480gb置換済の画像 75,000円",75000,https://jp.mercari.com/item/m32532865222,A1418,,2020.0,Core i5 2.3Ghz,i5,2.3
88,"iMac Retina 5k,27-inch,Late2015の画像 63,000円",63000,https://jp.mercari.com/item/m70013987642,,,,,,
89,"Apple iMac (Retina5K, 27-inch, Late2015)の画像 55,000円",55000,https://jp.mercari.com/item/m83671444950,,,,,,
90,"iMac (21.5-inch, Late 2013) 液晶一体型パソコンの画像 32,400円",32400,https://jp.mercari.com/item/m11656667414,,,,,,
91,"iMac　2017 macOS Monterey搭載 corei5 1TBの画像 37,800円",37800,https://jp.mercari.com/item/m36548060407,,,,,,
92,"iMac 2015 Core i5 １TB 8GB マックデスクトップの画像 28,980円",28980,https://jp.mercari.com/item/m85001820779,,,,,,
93,"iMac VESA 27inch 5K Corei7 32GB SSD1TBの画像 99,990円",99990,https://jp.mercari.com/item/m79065657098,,,,,,
94,"iMac 21.5インチの画像 92,000円",92000,https://jp.mercari.com/item/m26264838190,,,,,,
95,"Apple iMac 2017 21.5 4K  Radeon 560の画像 9,000円",9000,https://jp.mercari.com/item/m80273281335,,,,,,
96,"Apple iMac Retina 5K 27-inch, Late 2015の画像 71,111円",71111,https://jp.mercari.com/item/m43154162774,,,,,,
97,"iMac 21.5inch Late 2013の画像 30,000円",30000,https://jp.mercari.com/item/m36964261329,,,,,,
98,"iMac m1 画面割れの画像 89,000円",89000,https://jp.mercari.com/item/m54821806371,,,,,,
99,"iMac (21.5-inch, Late 2015)の画像 32,000円",32000,https://jp.mercari.com/item/m17850438977,,,,,,
100,"（L48）APPLE iMac IMAC MNDY2J/A 21.5インチの画像 54,000円",54000,https://jp.mercari.com/item/m12559589237,,,,,,
